Event,Suburb,PreRent,PostRent,Diff
RBA Rate Hike Cycle Start,Shepparton,322.5,358.75,36.25
RBA Rate Hike Cycle Start,South Melbourne,436.25,496.25,60.0
RBA Rate Hike Cycle Start,South Yarra,402.5,450.0,47.5
RBA Rate Hike Cycle Start,Springvale,391.25,412.5,21.25
RBA Rate Hike Cycle Start,St Kilda,373.75,398.75,25.0
RBA Rate Hike Cycle Start,Sunbury,387.5,407.5,20.0
RBA Rate Hike Cycle Start,Sunshine,350.0,365.0,15.0
RBA Rate Hike Cycle Start,Swan Hill,300.0,310.0,10.0
RBA Rate Hike Cycle Start,Sydenham,400.0,416.25,16.25
RBA Rate Hike Cycle Start,Thornbury,400.0,410.0,10.0
RBA Rate Hike Cycle Start,Toorak,500.0,523.25,23.25
RBA Rate Hike Cycle Start,Torquay,562.5,605.0,42.5
RBA Rate Hike Cycle Start,Traralgon,352.5,381.0,28.5
RBA Rate Hike Cycle Start,West Footscray,393.75,408.75,15.0
RBA Rate Hike Cycle Start,Whittlesea,395.0,425.0,30.0
RBA Rate Hike Cycle Start,Williamstown,512.5,532.5,20.0
RBA Rate Hike Cycle Start,Wodonga,365.0,402.5,37.5
Rapid Tightening Peak,Altona,400.0,428.75,28.75
Rapid Tightening Peak,Armadale,431.25,475.0,43.75
Rapid Tightening Peak,Bairnsdale,355.0,397.5,42.5
Rapid Tightening Peak,Balwyn,532.5,571.25,38.75
Rapid Tightening Peak,Bayswater,410.0,433.75,23.75
Rapid Tightening Peak,Benalla,357.5,389.5,32.0
Rapid Tightening Peak,Bendigo,363.75,384.5,20.75
Rapid Tightening Peak,Bentleigh,495.0,533.5,38.5
Rapid Tightening Peak,Berwick,425.0,466.25,41.25
Rapid Tightening Peak,Blackburn,431.25,460.0,28.75
Rapid Tightening Peak,Boronia,405.0,437.5,32.5
Rapid Tightening Peak,Box Hill,407.5,463.75,56.25
Rapid Tightening Peak,Brighton,658.25,705.75,47.5
Rapid Tightening Peak,Brighton East,743.75,770.25,26.5
Rapid Tightening Peak,Brunswick,422.5,476.25,53.75
Rapid Tightening Peak,Carlton North,582.5,612.5,30.0
Rapid Tightening Peak,Carnegie,392.5,423.75,31.25
Rapid Tightening Peak,Castlemaine,382.5,419.5,37.0
Rapid Tightening Peak,Caulfield,407.5,482.5,75.0
Rapid Tightening Peak,Cheltenham,473.75,500.0,26.25
Rapid Tightening Peak,Clayton,403.75,451.25,47.5
Rapid Tightening Peak,Corio,325.0,350.0,25.0
Rapid Tightening Peak,Craigieburn,395.0,421.25,26.25
Rapid Tightening Peak,Cranbourne,415.0,457.5,42.5
Rapid Tightening Peak,Dandenong,352.5,370.5,18.0
Rapid Tightening Peak,East Melbourne,461.25,526.25,65.0
Rapid Tightening Peak,Echuca,369.0,401.75,32.75
Rapid Tightening Peak,Elsternwick,433.25,465.0,31.75
